index;macroprestazione;testo;cod_valoremedio_liquidazione;testo_pulito
2984;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo ematico;033T;prelievo ematico
2985;Medicazioni Avanzate;Medicazione lesioni cutanee;031T;medicazione lesioni cutanee
2986;Medicazioni Avanzate;Medicazioni;031T;medicazioni
2987;Educazione Sanitaria;Trasmissione competenze al care giver;122R;trasmissione competenze al care giver
2988;Educazione Sanitaria;Trasferimento competenze utente;122R;trasferimento competenze utente
2989;Medicazioni Avanzate;medicazioni semplici e complesse;032T;medicazioni semplici e complesse
2990;Educazione Sanitaria;Trasferimento competenze utente;032T;trasferimento competenze utente
2991;procedure clinico assistenziali;terapia iniettiva;019T;terapia iniettiva
2992;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia sc;019T;terapia sc
2993;Monitoraggi e Misurazioni;Sorveglianza infermieristica;122R;sorveglianza infermieristica
2994;Medicazioni Avanzate;medicazioni;031T;medicazioni
2995;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033T;prelievi
2996;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033T;prelievi
2997;Medicazioni Avanzate;Medicazioni;031T;medicazioni
2998;Educazione Sanitaria;Educazione terapeutica;122R;educazione terapeutica
2999;Medicazioni Avanzate;medicazioni;031T;medicazioni
3000;Medicazioni Avanzate;Medicazioni;031T;medicazioni
3001;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033T;prelievi
3002;Educazione Sanitaria;Relazione d'aiuto;122R;relazione daiuto
3003;Educazione Sanitaria;Relazione d'aiuto;122R;relazione daiuto
3004;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievi;033T;prelievi
3005;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievi;033T;prelievi
3006;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievi;033T;prelievi
3007;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033T;prelievi
3008;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievi;033T;prelievi
3009;Medicazione semplice;Medicazione;031T;medicazione
3010;Medicazione semplice;Medicazione;031T;medicazione
3011;Medicazione semplice;Medicazione;031T;medicazione
3012;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033T;prelievi
3013;procedure clinico assistenziali;Gestione enterostomie;031T;gestione enterostomie
3014;PAI, pianificazione, valutazione;Valutazione infermieristica;031T;valutazione infermieristica
3015;Medicazioni Avanzate;Medicazioni;031T;medicazioni
3016;Educazione Sanitaria;Educazione paziente e caregiver;122R;educazione paziente e caregiver
3017;Medicazione semplice;medicazione;031T;medicazione
3018;Educazione Sanitaria;Educazione;031T;educazione
3019;Educazione Sanitaria;educazione paziente e care giver e sostegno alla famiglia;122R;educazione paziente e care giver e sostegno alla famiglia
3020;Educazione Sanitaria;Educazione paziente e caregiver;122R;educazione paziente e caregiver
3021;Medicazioni Avanzate;Medicazioni;031T;medicazioni
3022;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo ematico;033T;prelievo ematico
3023;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo ematico;033T;prelievo ematico
3024;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievi;033T;prelievi
3025;Medicazioni Avanzate;Medicazioni complesse;032T;medicazioni complesse
3026;Medicazioni Avanzate;Medicazioni;032T;medicazioni
3027;Medicazioni Avanzate;Medicazione lesioni e ulcere;032T;medicazione lesioni e ulcere
3028;Medicazioni Avanzate;Medicazioni;032T;medicazioni
3029;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo venoso;033T;prelievo venoso
3030;Educazione Sanitaria;Educazione sanitaria;122R;educazione sanitaria
3031;procedure clinico assistenziali;Elettrocardiogrammi;008T;elettrocardiogrammi
3032;procedure clinico assistenziali;Esecuzione ecg;008T;esecuzione ecg
3033;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievo;033T;prelievo
3034;Medicazione semplice;Medicazione;031T;medicazione
3035;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo ematico;033T;prelievo ematico
3036;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematologici;033T;prelievi ematologici
3039;PAI, pianificazione, valutazione;osservazione condizioni igieniche e generali;105T;osservazione condizioni igieniche e generali
3040;procedure clinico assistenziali;Posizionamento cv;065T;posizionamento cv
3041;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033T;prelievi ematici
3042;Educazione Sanitaria;Educazione sanitaria;122R;educazione sanitaria
3043;Educazione Sanitaria;Counseling;122R;counseling
3044;Medicazioni Avanzate;Medicazione Ldp;032T;medicazione ldp
3045;Medicazioni Avanzate;Medicazioni;032T;medicazioni
3046;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo;033T;prelievo
3047;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo ematico;033T;prelievo ematico
3048;Educazione Sanitaria;colloquio con pz e familiari;122R;colloquio con pz e familiari
3049;procedure clinico assistenziali;gestione TEV;019T;gestione tev
3050;Monitoraggi e Misurazioni;rilevazione pressione arteriosa;004T;rilevazione pressione arteriosa
3051;Medicazioni Avanzate;Medicazioni;032T;medicazioni
3052;PAI, pianificazione, valutazione;Visita infermieristica;122R;visita infermieristica
3053;procedure clinico assistenziali;somministrazione terapia;019T;somministrazione terapia
3054;Educazione Sanitaria;Colloquio infermieristico;122R;colloquio infermieristico
3055;Educazione Sanitaria;colloquio infermieristico;122R;colloquio infermieristico
3056;Monitoraggi e Misurazioni;Rilevazione parametri;004T;rilevazione parametri
3057;procedure clinico assistenziali;somministrazione terapia intramuscolo;019T;somministrazione terapia intramuscolo
3058;procedure clinico assistenziali;gestione nutrizione enterale;016T;gestione nutrizione enterale
3059;Medicazione semplice;medicazioni lesioni e cateteri venosi centrali;077T;medicazioni lesioni e cateteri venosi centrali
3060;Medicazioni Avanzate;medicazioni;031T;medicazioni
3062;procedure clinico assistenziali;somministrazione terapia intramuscolo;019T;somministrazione terapia intramuscolo
3063;procedure clinico assistenziali;Somministrazione terapia;019T;somministrazione terapia
3064;procedure clinico assistenziali;terapia orale;019T;terapia orale
3067;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievo ematochimico;033T;prelievo ematochimico
3068;Medicazioni Avanzate;medicazioni;031T;medicazioni
3069;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;terapie infusive;019T;terapie infusive
3070;procedure clinico assistenziali;terapia iniettiva;019T;terapia iniettiva
3071;Medicazione semplice;Medicazione semplice;031T;medicazione semplice
3072;Medicazioni Avanzate;Medicazioni complesse;031T;medicazioni complesse
3073;Medicazione semplice;Medicazione;031T;medicazione
3074;Medicazioni Avanzate;Medicazioni;031T;medicazioni
3075;Medicazione semplice;Medicazione;031T;medicazione
3076;procedure clinico assistenziali;terapia orale;031T;terapia orale
3077;Medicazioni Avanzate;medicazioni;031T;medicazioni
3078;Medicazioni Avanzate;Medicazioni;031T;medicazioni
3079;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo ematici;033T;prelievo ematici
3080;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo ematico;033T;prelievo ematico
3081;procedure clinico assistenziali;posizionamento cv;065T;posizionamento cv
3082;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo ematico;033T;prelievo ematico
3083;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievo ematico;033T;prelievo ematico
3084;procedure clinico assistenziali;gestione cateterismo urinario;065T;gestione cateterismo urinario
3085;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033T;prelievi
3086;procedure clinico assistenziali;Gestione nutrizione enterale/ parenterale;016T;gestione nutrizione enterale parenterale
3087;Medicazioni Avanzate;medicazioni;031T;medicazioni
3088;procedure clinico assistenziali;terapia inffusiva;019T;terapia inffusiva
3089;Educazione Sanitaria;Counseling;122R;counseling
3090;Medicazioni Avanzate;medicazioni lesioni cutanee;032T;medicazioni lesioni cutanee
3091;Educazione Sanitaria;ed sanitaria al pz e al care giver;122R;ed sanitaria al pz e al care giver
3092;Medicazioni Avanzate;Medicazioni;031T;medicazioni
3093;procedure clinico assistenziali;Gest.nutriz.parenterale;019T;gestnutrizparenterale
3094;Educazione Sanitaria;Informazioni;122R;informazioni
3095;Monitoraggi e Misurazioni;Saturimetria;004T;saturimetria
3096;Monitoraggi e Misurazioni;Monitoraggio parametri;004T;monitoraggio parametri
3097;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievi;033T;prelievi
3098;Medicazione semplice;medicazioni semplici;031T;medicazioni semplici
3099;PAI, pianificazione, valutazione;Intervista;122R;intervista
3100;Educazione Sanitaria;colloquio infermieristico;122R;colloquio infermieristico
3101;Educazione Sanitaria;Counseling;122R;counseling
3102;Educazione Sanitaria;colloquio infermeristico;122R;colloquio infermeristico
3103;Educazione Sanitaria;Addestramento caregiver;122R;addestramento caregiver
3104;procedure clinico assistenziali;Terapia sottocutanea;019T;terapia sottocutanea
3105;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033T;prelievi
3106;Medicazioni Avanzate;medicazioni;031T;medicazioni
3107;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;terapia endovenosa;019T;terapia endovenosa
3108;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia ev;019T;terapia ev
3109;Monitoraggi e Misurazioni;Monitoraggio pressione;019T;monitoraggio pressione
3110;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033T;prelievi
3111;Educazione Sanitaria;counseling;122R;counseling
3112;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;PRELIEVO EMATICO;033T;prelievo ematico
3113;Medicazioni Avanzate;medicazioni;031T;medicazioni
3114;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033T;prelievi ematici
3115;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo ematici;033T;prelievo ematici
3116;Medicazioni Avanzate;medicazioni;031T;medicazioni
3117;procedure clinico assistenziali;CAMBIO CV;065T;cambio cv
3118;procedure clinico assistenziali;terapia  infusiva;019T;terapia  infusiva
3119;Medicazione semplice;medicazioni semplici;031T;medicazioni semplici
3120;Educazione Sanitaria;Educazione terapeutica;122R;educazione terapeutica
3121;Educazione Sanitaria;Educazione terapeutica;122R;educazione terapeutica
3122;Educazione Sanitaria;Educazione terapeutica al caregiver o al paziente stesso;122R;educazione terapeutica al caregiver o al paziente stesso
3123;Educazione Sanitaria;Educazione terapeutica;122R;educazione terapeutica
3124;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo;033T;prelievo
3126;Educazione Sanitaria;Ed terapeutica;122R;ed terapeutica
3127;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo;033T;prelievo
3129;procedure clinico assistenziali;cateterismo vescicale;065T;cateterismo vescicale
3130;procedure clinico assistenziali;cambi e medicazioni tracheostomie;045T;cambi e medicazioni tracheostomie
3131;Monitoraggi e Misurazioni;Rilevazione parametri vitali;004T;rilevazione parametri vitali
3132;procedure clinico assistenziali;Somministrazione nutrizione enterale;016T;somministrazione nutrizione enterale
3133;Medicazioni Avanzate;Medicazioni;031T;medicazioni
3134;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Cvp;007T;cvp
3135;procedure clinico assistenziali;Aspirazione muco;045T;aspirazione muco
3136;procedure clinico assistenziali;Aspirazione escreti;045T;aspirazione escreti
3137;procedure clinico assistenziali;Fleboclisi;016T;fleboclisi
3138;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Somministrazione terapia (ev, sc, im, os);016T;somministrazione terapia ev sc im os
3139;procedure clinico assistenziali;Terapia sottocutanea;016T;terapia sottocutanea
3140;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo;033T;prelievo
3141;Monitoraggi e Misurazioni;Sorveglianza infermieristica;122R;sorveglianza infermieristica
3142;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo;033T;prelievo
3143;Medicazione semplice;Medicazioni ferite;031T;medicazioni ferite
3144;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033T;prelievi
3145;Medicazioni Avanzate;Medicazioni ldp;032T;medicazioni ldp
3146;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapie infusionali;016T;terapie infusionali
3147;Medicazioni Avanzate;Medicazioni;031T;medicazioni
3148;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo venoso;033T;prelievo venoso
3149;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033T;prelievi ematici
3150;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi venosi;033T;prelievi venosi
3151;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo;033T;prelievo
3152;Medicazioni Avanzate;Medicazionei;031T;medicazionei
3153;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033T;prelievi
3154;Medicazioni Avanzate;Medicazioni;031T;medicazioni
3155;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo;033T;prelievo
3156;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo venoso;033T;prelievo venoso
3157;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033T;prelievi
3158;Medicazioni Avanzate;Medicazioni;031T;medicazioni
3159;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo venoso;033T;prelievo venoso
3160;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033T;prelievi
3161;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033T;prelievi ematici
3162;Medicazione semplice;Medicazione;031T;medicazione
3163;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo;033T;prelievo
3164;Medicazioni Avanzate;medicazioni lesioni da decubito;032T;medicazioni lesioni da decubito
3165;Medicazioni Avanzate;Medicazioni;031T;medicazioni
3166;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo;033T;prelievo
3167;Medicazioni Avanzate;Medicazioni;031T;medicazioni
3168;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi venosi;033T;prelievi venosi
3169;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033T;prelievi
3170;Medicazioni Avanzate;Medicazioni lesioni;031T;medicazioni lesioni
3171;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033T;prelievi
3172;Medicazioni Avanzate;Medicazioni;031T;medicazioni
3173;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033T;prelievi
3174;Medicazioni Avanzate;Medicazioni;031T;medicazioni
3175;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo;033T;prelievo
3176;Medicazioni Avanzate;Medicazioni;031T;medicazioni
3177;Medicazione semplice;Medicazioni semplici;031T;medicazioni semplici
3178;Medicazione semplice;Medicazioni semplici;031T;medicazioni semplici
3179;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo;033T;prelievo
3180;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo venisi;033T;prelievo venisi
3181;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033T;prelievi ematici
3182;Medicazioni Avanzate;Medicazioni;031T;medicazioni
3183;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033T;prelievi
3184;Medicazioni Avanzate;Medicazioni complesse;031T;medicazioni complesse
3185;Medicazioni Avanzate;Medicazioni;031T;medicazioni
3186;Medicazioni Avanzate;Medicazioni;031T;medicazioni
3187;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033T;prelievi ematici
3188;Medicazioni Avanzate;Medicazioni;031T;medicazioni
3190;Medicazione semplice;Medicazione;031T;medicazione
3193;Medicazione semplice;Medicazioni e bendaggi;031T;medicazioni e bendaggi
3194;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione cvc;065T;gestione cvc
3195;Medicazioni Avanzate;Medicazioni;031T;medicazioni
3196;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033T;prelievi
3198;procedure clinico assistenziali;Terapie palliative ev sc;019T;terapie palliative ev sc
3199;Medicazioni Avanzate;Medicazioni;031T;medicazioni
3200;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia infusionale;019T;terapia infusionale
3201;Medicazioni Avanzate;medicazioni;031T;medicazioni
3202;Medicazioni Avanzate;Medicazione LDP;031T;medicazione ldp
3203;Medicazioni Avanzate;Medicazioni;031T;medicazioni
3204;Medicazione semplice;Medicazione;031T;medicazione
3205;Medicazioni Avanzate;medicazioni;031T;medicazioni
3206;Medicazioni Avanzate;Medicazioni;031T;medicazioni
3209;Monitoraggi e Misurazioni;Monitoraggio parametri vitali;004T;monitoraggio parametri vitali
3210;procedure clinico assistenziali;Ecg;008T;ecg
3211;procedure clinico assistenziali;Ecg;008T;ecg
3212;Medicazione semplice;Medicazione;031T;medicazione
3213;Medicazioni Avanzate;Medicazioni;031T;medicazioni
3214;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia ev;019T;terapia ev
3215;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia endovenosa;019T;terapia endovenosa
3216;Medicazioni Avanzate;Medicazioni avanzate;032T;medicazioni avanzate
3217;Medicazioni Avanzate;Medicazioni avanzate;032T;medicazioni avanzate
3218;procedure clinico assistenziali;gestione terapie infusionale endovenose;032T;gestione terapie infusionale endovenose
3219;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia ev e gestione degli accessi periferici;019T;terapia ev e gestione degli accessi periferici
3220;Medicazioni Avanzate;Medicazioni;031T;medicazioni
3221;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia endovena;019T;terapia endovena
3222;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;TP ev;019T;tp ev
3223;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia ev;019T;terapia ev
3224;Medicazioni Avanzate;Medicazione;031T;medicazione
3225;procedure clinico assistenziali;Catetere vescicale;065T;catetere vescicale
