index	macroprestazione	testo	testo_pulito	cod_valoremedio_liquidazione
1523	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	prelievo ematico	prelievo ematico	033T
1524	Medicazioni Avanzate	Wundmanagment	wundmanagment	033T
1525	Medicazioni Avanzate	Wundmanagement	wundmanagement	033T
1526	Medicazioni Avanzate	Wundmanagment	wundmanagment	033T
1528	procedure clinico assistenziali	stima e riconoscimento del lavoro fatto in famiglia	stima e riconoscimento del lavoro fatto in famiglia	122R
1530	Medicazione semplice	medicazione ferite	medicazione ferite	031T
1531	Educazione Sanitaria	sostegno del care giver	sostegno del care giver	122R
1532	Educazione Sanitaria	Ascolto attivo / sostegno emotivo	ascolto attivo  sostegno emotivo	122R
1533	PAI, pianificazione, valutazione	consulenze	consulenze	122R
1534	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	prelievi	prelievi	033T
1535	procedure clinico assistenziali	verbände	verbände	033T
1536	procedure clinico assistenziali	peso neonato	peso neonato	004T
1537	procedure clinico assistenziali	Verbandswechsel	verbandswechsel	033T
1538	Medicazioni Avanzate	Wundbehandlung	wundbehandlung	033T
1539	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	prelievi	prelievi	033T
1540	procedure clinico assistenziali	cambiamento catetere	cambiamento catetere	065T
1541	Educazione Sanitaria	Ascolto attivo	ascolto attivo	122R
1542	procedure clinico assistenziali	Verbandswechsel	verbandswechsel	033T
1543	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	prlievo sague venoso	prlievo sague venoso	033T
1544	Cure Palliative	Palliative Betreuung	palliative betreuung	178R
1545	Educazione Sanitaria	sostegno CG	sostegno cg	122R
1546	procedure clinico assistenziali	Verbandswechsel	verbandswechsel	033T
1547	Medicazioni Avanzate	medicazione ulcere	medicazione ulcere	032T
1549	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	prelievi di sangue	prelievi di sangue	033T
1550	procedure clinico assistenziali	infusioni s.c.	infusioni sc	019T
1551	Medicazioni Avanzate	Wundverband	wundverband	033T
1552	Medicazioni Avanzate	Medicazioni	medicazioni	031T
1553	Educazione Sanitaria	Educazione	educazione	122R
1554	Monitoraggi e Misurazioni	Parametri vitali	parametri vitali	004T
1555	Educazione Sanitaria	Creazione relazione di fiducia	creazione relazione di fiducia	122R
1556	procedure clinico assistenziali	terapia parenterale	terapia parenterale	016T
1557	Medicazioni Avanzate	medicazioni da UDP	medicazioni da udp	031T
1558	Medicazioni Avanzate	medicazioni complesse	medicazioni complesse	031T
1559	Medicazioni Avanzate	medicazioni LDC	medicazioni ldc	031T
1561	PAI, pianificazione, valutazione	accertamento	accertamento	122R
1562	Medicazioni Avanzate	Medicazione lesioni complesse e semplici	medicazione lesioni complesse e semplici	032T
1563	Medicazione semplice	medicazioni bendaggi	medicazioni bendaggi	032T
1564	procedure clinico assistenziali	gestione ed educazione terapia ev, sc,	gestione ed educazione terapia ev sc	019T
1565	Medicazioni Avanzate	medicazioni ldc	medicazioni ldc	032T
1566	Medicazioni Avanzate	medicazione ulcere arteriose venose	medicazione ulcere arteriose venose	032T
1567	Medicazione semplice	gestione medicazione semplice	gestione medicazione semplice	032T
1568	Medicazioni Avanzate	medicazioni complesse	medicazioni complesse	032T
1569	Medicazioni Avanzate	medicazioni UDP	medicazioni udp	032T
1570	procedure clinico assistenziali	catetere vescicale	catetere vescicale	065T
1572	Medicazioni Avanzate	Medicazioni	medicazioni	032T
1573	Medicazioni Avanzate	ulcere da decubito	ulcere da decubito	032T
1574	procedure clinico assistenziali	cateterismo vescicale	cateterismo vescicale	065T
1575	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	posizionamento accesso ago cannulla periferico	posizionamento accesso ago cannulla periferico	033T
1576	procedure clinico assistenziali	idratazione	idratazione	053T
1577	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	fleboterapia	fleboterapia	019T
1578	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	gestione cvc	gestione cvc	007T
1579	Medicazioni Avanzate	medicazioni lesioni cutanee	medicazioni lesioni cutanee	032T
1580	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	terapie endovenose e intramuscolari	terapie endovenose e intramuscolari	019T
1581	Medicazioni Avanzate	medicazioni lesioni decubito	medicazioni lesioni decubito	032T
1583	Medicazioni Avanzate	medicazioni ulcere vascolari	medicazioni ulcere vascolari	032T
1584	Medicazioni Avanzate	medicazioni (ulcere UDP FLC) ,bendaggi elastocompressivi	medicazioni ulcere udp flc bendaggi elastocompressivi	032T
1585	Medicazioni Avanzate	medicazioni ldd	medicazioni ldd	032T
1586	Medicazioni Avanzate	Medicazioni	medicazioni	031T
1587	procedure clinico assistenziali	gestione catetere vescicale	gestione catetere vescicale	065T
1588	Medicazioni Avanzate	medicazioni ldd	medicazioni ldd	032T
1589	Medicazioni Avanzate	MEDICAZIONE LESIONI DA PRESSIONE E FERITE CHIRURGICHE, DESUTURE	medicazione lesioni da pressione e ferite chirurgiche desuture	032T
1590	Medicazioni Avanzate	medicazione lesioni	medicazione lesioni	032T
1591	Medicazioni Avanzate	gestione medicazione lesioni	gestione medicazione lesioni	032T
1592	Cure Palliative	cure palliative	cure palliative	178R
1593	Medicazioni Avanzate	medicazioni ldp	medicazioni ldp	032T
1594	Medicazioni Avanzate	Medicazioni complesse e semplici	medicazioni complesse e semplici	032T
1595	Medicazioni Avanzate	medicazioni udp e ferite chirurgiche	medicazioni udp e ferite chirurgiche	032T
1596	Medicazioni Avanzate	medicazione LDD	medicazione ldd	032T
1597	Medicazioni Avanzate	medicazione ldd	medicazione ldd	032T
1598	procedure clinico assistenziali	gestione  cateterismo vescicale e addestramento alla gestione ed al controllo dello stesso	gestione  cateterismo vescicale e addestramento alla gestione ed al controllo dello stesso	065T
1599	Medicazioni Avanzate	medicazioni ulcere da pressione	medicazioni ulcere da pressione	032T
1600	Educazione Sanitaria	educazione sanitaria	educazione sanitaria	122R
1601	Medicazioni Avanzate	medicazioni semplici e complesse	medicazioni semplici e complesse	032T
1602	Medicazioni Avanzate	medicazioni	medicazioni	031T
1603	Medicazioni Avanzate	MEDICAZIONI COMPLESSE	medicazioni complesse	032T
1604	Medicazioni Avanzate	medicazione complessa	medicazione complessa	032T
1605	Medicazioni Avanzate	Medicazione complessa e semplice	medicazione complessa e semplice	032T
1606	Educazione Sanitaria	COLLOQUIO TERAPEUTICO	colloquio terapeutico	122R
1607	Medicazioni Avanzate	medicazioni	medicazioni	031T
1608	procedure clinico assistenziali	gestione cateteri vescicali	gestione cateteri vescicali	065T
1609	Educazione Sanitaria	supporto relazionale all'utente, famiglia, care giver	supporto relazionale allutente famiglia care giver	122R
1610	Medicazione semplice	MEDICAZIONI FERITE CHIRURGICHE	medicazioni ferite chirurgiche	032T
1611	Cure Palliative	gestione del dolore nel paziente oncologico e preparazione terapia in elastomero	gestione del dolore nel paziente oncologico e preparazione terapia in elastomero	019T
1612	Medicazioni Avanzate	Medicazioni	medicazioni	031T
1613	Medicazioni Avanzate	ldp	ldp	032T
1614	Medicazioni Avanzate	Medicazioni	medicazioni	031T
1615	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	terapia e.v	terapia ev	033T
1617	Medicazioni Avanzate	gestione lesioni	gestione lesioni	032T
1618	Medicazioni Avanzate	medicazioni lesioni da compressione	medicazioni lesioni da compressione	032T
1619	procedure clinico assistenziali	sostituzione catetere vescicale	sostituzione catetere vescicale	065T
1621	Medicazioni Avanzate	medicazioni ulcere da pressione	medicazioni ulcere da pressione	032T
1622	Medicazione semplice	Rinnovo medicazioni/Esecuzione Bendaggi/fasciature	rinnovo medicazioniesecuzione bendaggifasciature	032T
1623	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi domiciliari, ega	prelievi domiciliari ega	033T
1624	Medicazioni Avanzate	medicazione complessa	medicazione complessa	032T
1626	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	prelievo	prelievo	033T
1627	Medicazione semplice	Medicazioni varie	medicazioni varie	032T
1628	Medicazioni Avanzate	medicazione complessa	medicazione complessa	032T
1629	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	prelievo venoso	prelievo venoso	033T
1630	procedure clinico assistenziali	Terapia reidratante sottocute	terapia reidratante sottocute	032T
1631	procedure clinico assistenziali	GESTIONE TERAPIE REIDRATANTI E.V./S.C.	gestione terapie reidratanti evsc	032T
1632	Educazione Sanitaria	Educazione sanitaria	educazione sanitaria	122R
1633	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	033T
1634	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	prelievi ematici	prelievi ematici	033T
1635	Medicazioni Avanzate	medicazioni	medicazioni	031T
1636	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	pelievi	pelievi	033T
1637	Medicazione semplice	Medicazioni	medicazioni	031T
1638	PAI, pianificazione, valutazione	Controllo PA	controllo pa	004T
1639	Medicazioni Avanzate	Medicazioni	medicazioni	031T
1640	Educazione Sanitaria	Colloquio	colloquio	122R
1641	Medicazioni Avanzate	medicazioni complesse	medicazioni complesse	032T
1642	Medicazioni Avanzate	medicazione di lesioni da decubito	medicazione di lesioni da decubito	032T
1643	Medicazioni Avanzate	medicazioni	medicazioni	031T
1644	Medicazioni Avanzate	medicazioni	medicazioni	031T
1645	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	PRELIEVI	prelievi	033T
1646	Educazione Sanitaria	Educazione e addestramento all'utente/familiare o caregiver a seconda dei bisogni dell'utente e famiglia	educazione e addestramento allutentefamiliare o caregiver a seconda dei bisogni dellutente e famiglia	122R
1647	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	inserimento accessi venosi	inserimento accessi venosi	033T
1648	procedure clinico assistenziali	cambio catetere vescicale	cambio catetere vescicale	065T
1649	Medicazioni Avanzate	medicazioni	medicazioni	031T
1650	Medicazioni Avanzate	medicazioni complesse	medicazioni complesse	032T
1651	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	prelievi	prelievi	033T
1652	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	prelievi	prelievi	033T
1653	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	033T
1654	Medicazioni Avanzate	medicazioni complesse ulcere e udp	medicazioni complesse ulcere e udp	032T
1655	Medicazioni Avanzate	Medicazioni	medicazioni	031T
1656	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	prelievo ematico	prelievo ematico	033T
1657	Medicazione semplice	Medicazioni ferite chirurgiche	medicazioni ferite chirurgiche	032T
1658	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Accesso venoso per tev	accesso venoso per tev	033T
1659	Medicazioni Avanzate	Medicazioni	medicazioni	031T
1660	Medicazione semplice	Medicazione semplice	medicazione semplice	031T
1661	Medicazioni Avanzate	Medicazioni complesse e semplici	medicazioni complesse e semplici	031T
1662	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	terapia endovenosa	terapia endovenosa	033T
1663	Medicazioni Avanzate	medicazioni	medicazioni	031T
1664	Medicazioni Avanzate	gestione lesioni da pressione	gestione lesioni da pressione	032T
1665	Medicazioni Avanzate	medicazioni	medicazioni	031T
1666	Medicazioni Avanzate	medicazioni ulcere	medicazioni ulcere	033T
1667	Medicazioni Avanzate	Gestione LDP	gestione ldp	032T
1668	Medicazioni Avanzate	Medicazioni, complesse , semplici o con vac	medicazioni complesse  semplici o con vac	032T
1669	Medicazioni Avanzate	medicazioni complesse di lesioni	medicazioni complesse di lesioni	032T
1670	Medicazioni Avanzate	Medicazioni ulcere da decubito	medicazioni ulcere da decubito	032T
1671	Medicazioni Avanzate	Medicazioni	medicazioni	031T
1672	Medicazioni Avanzate	Medicazioni	medicazioni	031T
1673	Medicazioni Avanzate	Medicazioni Ldp	medicazioni ldp	031T
1674	procedure clinico assistenziali	gestione stomie	gestione stomie	079T
1675	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi venosi	prelievi venosi	033T
1676	Medicazione semplice	Medicazione	medicazione	031T
1677	Medicazioni Avanzate	Medicazione	medicazione	031T
1678	Medicazione semplice	Medicazione	medicazione	031T
1679	Medicazioni Avanzate	Medicazione udp	medicazione udp	032T
1680	Medicazioni Avanzate	medicazione udp	medicazione udp	032T
1682	Medicazioni Avanzate	Medicazioni	medicazioni	031T
1683	procedure clinico assistenziali	TERAPIA IM	terapia im	019T
1684	Medicazioni Avanzate	medicazioni	medicazioni	031T
1685	Medicazioni Avanzate	Gestione Medicazioni complesse	gestione medicazioni complesse	032T
1686	Medicazione semplice	medicazioni lesioni vascolari/traumatiche	medicazioni lesioni vascolaritraumatiche	032T
1687	procedure clinico assistenziali	cambio catetere	cambio catetere	065T
1688	Medicazioni Avanzate	medicazioni complesse/semplici	medicazioni complessesemplici	032T
1689	Medicazioni Avanzate	medicazione ldp	medicazione ldp	032T
1690	Medicazioni Avanzate	medicazioni	medicazioni	031T
1691	Medicazione semplice	gestione lesione chirurgica	gestione lesione chirurgica	032T
1692	Medicazioni Avanzate	medicazioni ldp	medicazioni ldp	032T
1693	Medicazione semplice	medicazione	medicazione	031T
1694	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	gestione cv	gestione cv	065T
1695	Medicazione semplice	medicazioni semplici	medicazioni semplici	031T
1696	Medicazioni Avanzate	medicazione	medicazione	031T
1697	procedure clinico assistenziali	Gestione cateterismo vescicale	gestione cateterismo vescicale	065T
1698	Medicazioni Avanzate	Medicazioni	medicazioni	031T
1699	procedure clinico assistenziali	Gestione PEG	gestione peg	015T
1700	Cure Palliative	Cure palliative	cure palliative	178R
1701	Educazione Sanitaria	educazione e gestione medicazioni semplici e complesse	educazione e gestione medicazioni semplici e complesse	032T
1702	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo	prelievo	033T
1703	procedure clinico assistenziali	Terapia im	terapia im	019T
1704	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Fleboclisi	fleboclisi	033T
1705	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	gestione CV	gestione cv	065T
1706	Medicazioni Avanzate	medicazioni	medicazioni	031T
1707	Medicazioni Avanzate	trattamento lesioni da compressione	trattamento lesioni da compressione	032T
1708	Educazione Sanitaria	counceling,supporto psicologico e non,informazione,educazione sanitaria,prevenzione	councelingsupporto psicologico e noninformazioneeducazione sanitariaprevenzione	122R
1709	Medicazioni Avanzate	Medicazioni	medicazioni	031T
1710	Medicazioni Avanzate	Gestione medicazione complessa	gestione medicazione complessa	032T
1711	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	033T
1712	Educazione Sanitaria	Educazione terapeutica	educazione terapeutica	122R
1713	Medicazioni Avanzate	Medicazioni	medicazioni	031T
1714	Medicazioni Avanzate	medicazioni semplici e complesse	medicazioni semplici e complesse	031T
1715	Medicazioni Avanzate	Medicazioni UDP	medicazioni udp	031T
1716	Medicazioni Avanzate	medicazioni lesioni	medicazioni lesioni	031T
1717	Medicazioni Avanzate	Gestione medicazione complessa	gestione medicazione complessa	031T
1718	Medicazioni Avanzate	Medicazioni	medicazioni	031T
1719	Medicazioni Avanzate	Medicazioni semplici/complesse.	medicazioni semplicicomplesse	031T
1720	Educazione Sanitaria	educazione socio sanitaria	educazione socio sanitaria	122R
1721	Medicazioni Avanzate	GESTIONE  E MEDICAZIONI LdDP	gestione  e medicazioni lddp	122R
1722	Medicazioni Avanzate	medicazioni	medicazioni	031T
1723	Medicazione semplice	medicazioni arti inferiori , e ferite chirurgiche	medicazioni arti inferiori  e ferite chirurgiche	032T
1724	procedure clinico assistenziali	gestione catetere vescicale	gestione catetere vescicale	065T
1725	Medicazioni Avanzate	Medicazioni avanzate	medicazioni avanzate	032T
1726	procedure clinico assistenziali	Sostituzione cv	sostituzione cv	065T
1727	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi domiciliari	prelievi domiciliari	033T
1728	Medicazioni Avanzate	medicazioni	medicazioni	031T
1729	Medicazioni Avanzate	medicazioni	medicazioni	031T
1730	procedure clinico assistenziali	Sostituzione cv	sostituzione cv	065T
1731	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Posizionamento catetere vescicale	posizionamento catetere vescicale	065T
1732	Medicazioni Avanzate	Medicazioni lesioni arti inf	medicazioni lesioni arti inf	031T
1733	Medicazioni Avanzate	Medicazione	medicazione	031T
1734	Medicazione semplice	Medicazione	medicazione	031T
1735	Medicazione semplice	Medicazione	medicazione	031T
1737	Medicazioni Avanzate	MEDICAZIONE PIEDE DIABETICO	medicazione piede diabetico	031T
1738	PAI, pianificazione, valutazione	valutazione prima visita e presa in carico	valutazione prima visita e presa in carico	122R
1739	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Terapia endovenosa idratante e antibiotca	terapia endovenosa idratante e antibiotca	033T
1740	Medicazioni Avanzate	Medicazioni e bendaggi ulcere arti inferiori	medicazioni e bendaggi ulcere arti inferiori	031T
1741	Medicazione semplice	medicazioni semplici	medicazioni semplici	031T
1742	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	gestione cv	gestione cv	070T
1743	Medicazioni Avanzate	medicazioni	medicazioni	031T
1744	Medicazioni Avanzate	MEDICAZIONI	medicazioni	031T
1745	Medicazioni Avanzate	medicazione ldd	medicazione ldd	031T
1746	procedure clinico assistenziali	gestione catetere vescicale	gestione catetere vescicale	065T
1747	Medicazioni Avanzate	Medicazioni	medicazioni	031T
