Macroprestazione;Note infermieristiche;Prestazione da nomenclatore;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;GESTIONE TERAPIA ENDOVENOSA E SOTTOCUTANEA;016t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Endovena;016t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Posizunamento aghi;020t;;;
procedure clinico assistenziali;Gestione dei sintomi;;;;
procedure clinico assistenziali;Ecg;;;;
procedure clinico assistenziali;Gestione dei sintomi;;;;
Medicazione semplice;Medicazione  chirurgica;;;;
procedure clinico assistenziali;Gestione carattere;;;;
Medicazione semplice;Medicazioni accessi vascolari;;;;
procedure clinico assistenziali;Cateterismo vescicale;065t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione CVC/Porth;;;;
procedure clinico assistenziali;Cateterismo vescicale;065t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia infusionale;016t;;;
procedure clinico assistenziali;Gestione catetere vescicale;065t;;;
procedure clinico assistenziali;Cateterismo vescicale;065t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Infusioni;016t;;;
Cure Palliative;Gestione paziente terminale oncologico;;;;
procedure clinico assistenziali;Gestione catetere vescicale;065t;;;
procedure clinico assistenziali;Cambio peg;;;;
PAI, pianificazione, valutazione;Colloquio con famigliari;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Reperire accessi venisi;020t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Fleboterapia ev/sc;016t;;;
Cure Palliative;Assistenza terminalità;;;;
;;;;;
procedure clinico assistenziali;Cateterismo vescicale;065t;;;
procedure clinico assistenziali;cateterismo vescicale;065t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;terapia infusionale;016t;;;
procedure clinico assistenziali;Somministrazione terapia infusiva;016t;;;
procedure clinico assistenziali;gestione catetere vescicale;065t;;;
;;;;;
Medicazione semplice;medicazioni varie;;;;
Cure Palliative;Cure palliative e di fine vita;;;;
Monitoraggi e Misurazioni;rilevazione parametri vitali;004t;;;
PAI, pianificazione, valutazione;Verifica ldd;;;;
procedure clinico assistenziali;sostituzione cateteri vescicali;065t;;;
Educazione Sanitaria;Ed/Gestione Catetere vescicale - Uro-colonstomie - drenaggi;065t;;;
Medicazioni Avanzate;medicazioni ulcere trofiche;;;;
procedure clinico assistenziali;gestione alimentazione enterale tramite peg -sng;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;gestione cvc;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Somministrazione terapia infusionale e terapia ev;016t;;;
Medicazione semplice;Medicazioni accessi venosi periferici e centrali;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033t;;;
Medicazioni Avanzate;Medicazioni LDP;;;;
Educazione Sanitaria;Educazione caregiver;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Infusioni;016t;;;
procedure clinico assistenziali;Cambio catetere vescicale;065t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione cvc;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Infusioni ev, sc;016t;;;
Medicazioni Avanzate;Medicazione lesioni da decubito;;;;
Medicazione semplice;Medicazione PICC, midline, port;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Infusioni;016t;;;
procedure clinico assistenziali;Terapia ipodermoclisi;;;;
procedure clinico assistenziali;Sostituzione catetere vescicale;065t;;;
Medicazione semplice;Medicazione picc;;;;
procedure clinico assistenziali;Sostituzione cateteri vescicali;065t;;;
procedure clinico assistenziali;Cambio c.v.;065t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione cvc;;;;
procedure clinico assistenziali;Cateterismi vescicali;065t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033t;;;
;;;;;
Medicazione semplice;Medicazioni cvc;;;;
Medicazioni Avanzate;Medicazione lesioni da decubito;;;;
procedure clinico assistenziali;Infusioni sottocute;;;;
Medicazioni Avanzate;medicazioni lesioni vascolari e da pressione;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Infusione terapia;016t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Infusioni;016t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033t;;;
Cure Palliative;Assistenza/terapia a pazienti cure palliative;;;;
Monitoraggi e Misurazioni;Parametri;004t;;;
procedure clinico assistenziali;Cambio catetere vescicale;065t;;;
procedure clinico assistenziali;gestione catetere vescicale;065t;;;
Cure Palliative;Accompagnamento al fine vita;;;;
Medicazione semplice;Medicazioni accessi venosi centrali e periferici;;;;
procedure clinico assistenziali;Cateterismo vescicale femminile;065t;;;
procedure clinico assistenziali;cambio catetere vescicale;065t;;;
Medicazione semplice;Medicazioni chirurgiche;;;;
Educazione Sanitaria;Supporto al paziente;;;;
Medicazione semplice;Medicazioni ferite chirurgiche;;;;
Cure Palliative;Sedazione palliativs;;;;
PAI, pianificazione, valutazione;Cronici;;;;
procedure clinico assistenziali;nutrizione parenterale totale;;;;
procedure clinico assistenziali;Catetere vescicale;065t;;;
procedure clinico assistenziali;Sostituzione peg o bottone peg;;;;
Cure Palliative;Terapia palliative;;;;
Medicazioni Avanzate;medicazioni ldd;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Somministrazione terapia endovenosa;016t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Infusioni;016t;;;
Medicazioni Avanzate;Medicazione piaga;;;;
procedure clinico assistenziali;Ipodermoclisi;;;;
Medicazione semplice;MEDICAZIONE PICC;;;;
procedure clinico assistenziali;Sostituzione cateteri vescicali;065t;;;
procedure clinico assistenziali;Posizionamento ipodermoclisi;;;;
Educazione Sanitaria;Educazione e gestione terapia infusionale;016t;;;
Medicazioni Avanzate;Piede diabetico;;;;
Medicazioni Avanzate;Medicazioni;;;;
procedure clinico assistenziali;Sacche nutrizionali;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Cvc;;;;
Medicazione semplice;medicazione di ferite chirurgiche;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione picc;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;TERAPIA ENDOVENA;016t;;;
procedure clinico assistenziali;catetere vescicale;065t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;medicazione picc;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;TERAPIA EV;016t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;MEDICAZIONE PICC;;;;
procedure clinico assistenziali;CATETERI VESCICALI;065t;;;
procedure clinico assistenziali;CLISTERE;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;TERAPIA  ENDOVENOSA;016t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;GESTIONE PICC;;;;
procedure clinico assistenziali;nutrizione enterale;;;;
procedure clinico assistenziali;GESTIONI CATETERI CENTRALI;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;TERAPIE ENDOVENOSE;016t;;;
procedure clinico assistenziali;Sostituzioni cateteri;065t;;;
procedure clinico assistenziali;GESTIONI ACCESSI VENOSI CENTRALI(PICC, PORT);;;;
procedure clinico assistenziali;GESTIONI E SOSTITUZIONE DI CATETERE VESCICALE;;;;
Educazione Sanitaria;Educazione Sanitaria;122r;;;
Medicazioni Avanzate;medicazioni ldp 2°,3° grado;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;terapia endovena;016t;;;
Medicazioni Avanzate;MEDICAZIONI DA 1 AL 4 LIVELLO;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;ELASTOMERI;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033t;;;
procedure clinico assistenziali;CLISTERE;;;;
procedure clinico assistenziali;SOSTITUZIONE SNG;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;TERAPIA INFUSIONALE;016t;;;
Educazione Sanitaria;EDUCAZIONE TERAPEUTICA/ADDESTRAMENTO CARE GIVER;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;medicazione accesso venoso centrale;;;;
Cure Palliative;riempimento elastomero;;;;
Medicazioni Avanzate;MEDICAZIONI DI ULCERE VASCOLARI E DA PRESSIONE O FERITE CHIRURGICHE ECC...;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033t;;;
procedure clinico assistenziali;Terapia sottocutaneo;;;;
procedure clinico assistenziali;Lavaggio med cvc;;;;
Medicazioni Avanzate;Medicazione;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;LAVAGGIO PORT;;;;
procedure clinico assistenziali;Sostituzione catetere vescicale;065t;;;
procedure clinico assistenziali;sostituzione cv;065t;;;
procedure clinico assistenziali;SOSTITUZIONE GESTIONE CATETERE VESCICALE;065t;;;
;;;;;
procedure clinico assistenziali;CAMBIO CV;065t;;;
Cure Palliative;gestione elastomero;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievi domiciliari;033t;;;
Medicazione semplice;medicazioni arti sup e inf per lesioni iatrogene;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia ev;016t;;;
procedure clinico assistenziali;POSIZIONAMENTO SONDINI;;;;
Medicazione semplice;Bendaggio arti inferiori;023t;;;
Medicazioni Avanzate;MEDICAZIONI LESIONI DA DECUBITO;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;MEDICAZIONE PICC;;;;
procedure clinico assistenziali;Liq ev;016t;;;
Medicazioni Avanzate;MEDICAZIONI VARIE;;;;
procedure clinico assistenziali;Protocollo esecuzione clistere evacuativo;;;;
procedure clinico assistenziali;gestione stomia;;;;
procedure clinico assistenziali;Sostituzioni e applicazioni cateteri vescicali;065t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione picc;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;PRELIEVI;033t;;;
procedure clinico assistenziali;GESTIONE CV;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033t;;;
procedure clinico assistenziali;posizionamento o sostituzione catetere vescicale;065t;;;
procedure clinico assistenziali;Cambio cv;065t;;;
Educazione Sanitaria;Educazione;;;;
Educazione Sanitaria;ascolto di familiare e paziente;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;gestione cvc;;;;
Monitoraggi e Misurazioni;monitoraggio;004t;;;
procedure clinico assistenziali;gestione terapia;;;;
procedure clinico assistenziali;PREPARAZIONE E SOMMINISTRAZIONE DI TERAPIE;;;;
Cure Palliative;VISITE CON PALLIATIVISTA E/O MMG;;;;
PAI, pianificazione, valutazione;Prima visita;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievi/ trasfusioni;033t;;;
Monitoraggi e Misurazioni;Monitoraggio;004t;;;
procedure clinico assistenziali;gestione funzione urinaria;;;;
procedure clinico assistenziali;Sostituzione catetere vescicale;065t;;;
procedure clinico assistenziali;catetere vescicale;065t;;;
procedure clinico assistenziali;cambio catetere vescicale;065t;;;
PAI, pianificazione, valutazione;visita per monitoraggio;004t;;;
Monitoraggi e Misurazioni;gestione ambulatorio cdcd ( programmazione visite di controllo paz seguiti in cdcd);;;;
procedure clinico assistenziali;gestione presidi come catetere vescicale, PEG;065t;;;
procedure clinico assistenziali;GESTRIONE PEG E NE;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Esami ematici;033t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Esami ematici;033t;;;
procedure clinico assistenziali;gestione funzione urinaria;;;;
procedure clinico assistenziali;Terapia sottocute;;;;
procedure clinico assistenziali;gestione device;;;;
Cure Palliative;visita di valutazione con medico palliativista o mmg;;;;
Medicazione semplice;Medicazione;;;;
Educazione Sanitaria;Educazione terapeutica;;;;
procedure clinico assistenziali;gestione alvo;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;gestione cateteri venosi;;;;
PAI, pianificazione, valutazione;Valutazione;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi;033t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo ematico;033t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia infusiva sc e ev trasferimento competenze addestramento educazione colloqui;016t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo ematico;033t;;;
PAI, pianificazione, valutazione;VALUTAZIONI;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia parenterale;016t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievo ematico;033t;;;
Cure Palliative;visita congiunta con palliativista;;;;
PAI, pianificazione, valutazione;assesment;;;;
Medicazione semplice;Medicazione;;;;
procedure clinico assistenziali;Sostituzione CV;065t;;;
Cure Palliative;Sedazione;;;;
procedure clinico assistenziali;Gestione funzionalità urinaria;;;;
Cure Palliative;Sedazione terminale;;;;
procedure clinico assistenziali;riconciliazione della terapia;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia endovena;016t;;;
procedure clinico assistenziali;Terapia iniettiva;;;;
procedure clinico assistenziali;Gestione funzione urinaria;;;;
procedure clinico assistenziali;Idratazione;;;;
Educazione Sanitaria;Educazione/ addestramento;;;;
Medicazione semplice;medicazione;;;;
procedure clinico assistenziali;gestione alvo;;;;
procedure clinico assistenziali;terapia orale;;;;
PAI, pianificazione, valutazione;Accompagnamento;;;;
procedure clinico assistenziali;Punture;;;;
Monitoraggi e Misurazioni;monitoraggi;004t;;;
Educazione Sanitaria;educazione ai famigliari;;;;
procedure clinico assistenziali;Gestione funzione urinaria;;;;
Monitoraggi e Misurazioni;monitoraggio;004t;;;
Medicazione semplice;MEDICAZIONE;;;;
procedure clinico assistenziali;gestione terapia sc/ev;;;;
Medicazione semplice;fasciature, bendaggio;023t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione CVC;;;;
Medicazione semplice;medicazioni semplici;023t;;;
procedure clinico assistenziali;Gestione funzione urinaria (cateteri vescicali e nefrostomie);;;;
procedure clinico assistenziali;gestione funzione urinaria;;;;
procedure clinico assistenziali;gestione tracheostomia;;;;
Medicazione semplice;"medicazione accesso venoso centrale/ periferico ( PICC; PORTH; Midline,...)";;;;
Educazione Sanitaria;Educazione caregiver;;;;
procedure clinico assistenziali;Sostituzione catetere  vescicale;065t;;;
Monitoraggi e Misurazioni;monitoraggio;004t;;;
Monitoraggi e Misurazioni;Monitoraggio;004t;;;
Educazione Sanitaria;Supporto nel fine vita;;;;
Monitoraggi e Misurazioni;Monitoraggio;004t;;;
procedure clinico assistenziali;Terapie iniettive nella varie vie di somministrazione;;;;
procedure clinico assistenziali;Terapie iniettive nelle varie vie di somministrazione;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione dolore e terapia antalgica;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;GESTIONE DEVICE/CVC;;;;
procedure clinico assistenziali;Cambio catetere vescicale, gestione funzionalità renale;065t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione Cvc;;;;
Monitoraggi e Misurazioni;Monitoraggio;004t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione CVC;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia infusiva;016t;;;
Monitoraggi e Misurazioni;parametri vitali;004t;;;
procedure clinico assistenziali;Catetere vescicale;065t;;;
Medicazione semplice;Medicazione;031t;;;
Monitoraggi e Misurazioni;Monitoraggio parametri;004t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;terapie iniettive;;;;
procedure clinico assistenziali;Bendaggi;023t;;;
Monitoraggi e Misurazioni;monitoraggio;004t;;;
Educazione Sanitaria;Educazione;;;;
PAI, pianificazione, valutazione;Visite;;;;
procedure clinico assistenziali;intramuscolo;;;;
Medicazioni Avanzate;Medicazioni;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione cvc;;;;
procedure clinico assistenziali;Terapie iniettive e s.c.;;;;
procedure clinico assistenziali;Gestione alvo;;;;
procedure clinico assistenziali;Gestione cateterismo vescicale;065t;;;
Cure Palliative;gestione pompa elastomerica;;;;
procedure clinico assistenziali;gestione funzione urinaria;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo venoso;016t;;;
procedure clinico assistenziali;gestione catetere vescicale;065t;;;
Cure Palliative;Gestione elastomero;;;;
Monitoraggi e Misurazioni;Monitoraggio clinico;004t;;;
procedure clinico assistenziali;controllo dispnea;;;;
procedure clinico assistenziali;intramuscolo;;;;
Medicazioni Avanzate;Medicazioni complesse;032t;;;
Monitoraggi e Misurazioni;controllo disturbi gastro-emetici;;;;
Educazione Sanitaria;educazione terapeutica;;;;
Educazione Sanitaria;ascolto;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievi;033t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo;033t;;;
PAI, pianificazione, valutazione;Valutazioni Paz ADI;;;;
procedure clinico assistenziali;Gestione funzione urinaria;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestioni cvc;;;;
Educazione Sanitaria;COLLOQUIO RELAZIONALE;;;;
Medicazioni Avanzate;Medicazioni;;;;
Monitoraggi e Misurazioni;Monitoraggio sintomi disturbanti;;;;
procedure clinico assistenziali;Bendaggi;023t;;;
procedure clinico assistenziali;Gestione catetere vescicale;065t;;;
procedure clinico assistenziali;Intramuscolo;;;;
procedure clinico assistenziali;gestione della terapia (orale, ev e sc);016t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievi;033t;;;
procedure clinico assistenziali;catetere vescicale;065t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievi;033t;;;
procedure clinico assistenziali;terapia intramuscolo;;;;
;;;;;
Monitoraggi e Misurazioni;Monitoraggio parametri;004t;;;
procedure clinico assistenziali;Cateterismo vescicale;065t;;;
Educazione Sanitaria;addestramento  del care giver alla somministrazione della terapia sc;;;;
;;;;;
procedure clinico assistenziali;cambio CV;065t;;;
Medicazioni Avanzate;medicazioni;;;;
Medicazioni Avanzate;med complessa;;;;
Educazione Sanitaria;addestramento del paziente/dei care giver  alle terapie orali e non, alla Tab,  alla medicazione, mobilizzazione del paziente allettato...;122r;;;
Educazione Sanitaria;educazione terapeutica al paziente e ai care giver e/o familiari;122r;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione cvc;;;;
procedure clinico assistenziali;preparazione pilloliere;;;;
Cure Palliative;Preparazione pompe elastomeriche;;;;
