index	macroprestazione	testo	testo_pulito	testo_corretto	cod_valoremedio_liquidazione	descr_cod_valoremedio_liquidazione
3581	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	prelievi ematici	prelievi ematici	prelievo ematico	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
3582	Monitoraggi e Misurazioni	rilevazioni PV	rilevazioni pv	rilevazione parametri vitali	004T	Misurazione di uno o più dei seguenti parametri vitali e valori (temperatura polso arterioso, pressione arteriosa, atti respiratori, diuresi, peso corporeo misure antropometriche)
3583	Monitoraggi e Misurazioni	Controllo PV	controllo pv	controllo parametri vitali	004T	Misurazione di uno o più dei seguenti parametri vitali e valori (temperatura polso arterioso, pressione arteriosa, atti respiratori, diuresi, peso corporeo misure antropometriche)
3584	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	prelievo	prelievo	prelievo	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
3586	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	prelievo ematico	prelievo ematico	prelievo ematico	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
3587	Monitoraggi e Misurazioni	monitoraggio	monitoraggio	monitoraggio	004T	Misurazione di uno o più dei seguenti parametri vitali e valori (temperatura polso arterioso, pressione arteriosa, atti respiratori, diuresi, peso corporeo misure antropometriche)
3588	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	prelievo ematico	prelievo ematico	prelievo ematico	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
3589	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	PRELIEVI VENOSI	prelievi venosi	prelievo venoso	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
3590	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	prelievi	prelievi	prelievo	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
3593	Monitoraggi e Misurazioni	Rilevazione Parametri	rilevazione parametri	rilevazione parametri	004T	Misurazione di uno o più dei seguenti parametri vitali e valori (temperatura polso arterioso, pressione arteriosa, atti respiratori, diuresi, peso corporeo misure antropometriche)
3594	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	prelievi	prelievi	prelievo	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
3597	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	PRELIEVO EMTICO	prelievo emtico	prelievo ematico	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
3599	Monitoraggi e Misurazioni	RILEVAZIONE PARAMETRI	rilevazione parametri	rilevazione parametri	004T	Misurazione di uno o più dei seguenti parametri vitali e valori (temperatura polso arterioso, pressione arteriosa, atti respiratori, diuresi, peso corporeo misure antropometriche)
3600	Monitoraggi e Misurazioni	rilevazione parametri vitali	rilevazione parametri vitali	rilevazione parametri vitale	004T	Misurazione di uno o più dei seguenti parametri vitali e valori (temperatura polso arterioso, pressione arteriosa, atti respiratori, diuresi, peso corporeo misure antropometriche)
3601	PAI, pianificazione, valutazione	Raccolta dati	raccolta dati	raccolto dato	122R	Accoglienza del paziente: presentazione di luoghi e persone, spiegazione dell'organizzazione del servizio. Intervista preliminare. Raccolta dati ed elaborazione insieme alla famiglia e/o al paziente di un programma globale di assistenza Infermieristica. Informazione a proposito degli interventi di assistenza e/o eventuali esami allo scopo fra l'altro di indurre Il paziente e/o la sua famiglia alla partecipazione.;Educazione del paziente perché si faccia carico della propria salute. Relazione di aiuto terapeutico. Preparazione di una relazione descrittiva di un piano di assistenza;
3602	PAI, pianificazione, valutazione	Sedazione palliativa	sedazione palliativa	sedazione palliative	122R	Accoglienza del paziente: presentazione di luoghi e persone, spiegazione dell'organizzazione del servizio. Intervista preliminare. Raccolta dati ed elaborazione insieme alla famiglia e/o al paziente di un programma globale di assistenza Infermieristica. Informazione a proposito degli interventi di assistenza e/o eventuali esami allo scopo fra l'altro di indurre Il paziente e/o la sua famiglia alla partecipazione.;Educazione del paziente perché si faccia carico della propria salute. Relazione di aiuto terapeutico. Preparazione di una relazione descrittiva di un piano di assistenza;
3603	Medicazioni Avanzate	Medicazioni	medicazioni	medicazione	122R	Accoglienza del paziente: presentazione di luoghi e persone, spiegazione dell'organizzazione del servizio. Intervista preliminare. Raccolta dati ed elaborazione insieme alla famiglia e/o al paziente di un programma globale di assistenza Infermieristica. Informazione a proposito degli interventi di assistenza e/o eventuali esami allo scopo fra l'altro di indurre Il paziente e/o la sua famiglia alla partecipazione.;Educazione del paziente perché si faccia carico della propria salute. Relazione di aiuto terapeutico. Preparazione di una relazione descrittiva di un piano di assistenza;
3604	Educazione Sanitaria	Educazione care giver	educazione care giver	educazione caregiver caregiver	122R	Accoglienza del paziente: presentazione di luoghi e persone, spiegazione dell'organizzazione del servizio. Intervista preliminare. Raccolta dati ed elaborazione insieme alla famiglia e/o al paziente di un programma globale di assistenza Infermieristica. Informazione a proposito degli interventi di assistenza e/o eventuali esami allo scopo fra l'altro di indurre Il paziente e/o la sua famiglia alla partecipazione.;Educazione del paziente perché si faccia carico della propria salute. Relazione di aiuto terapeutico. Preparazione di una relazione descrittiva di un piano di assistenza;
3605	Monitoraggi e Misurazioni	parametri	parametri	parametri	004T	Misurazione di uno o più dei seguenti parametri vitali e valori (temperatura polso arterioso, pressione arteriosa, atti respiratori, diuresi, peso corporeo misure antropometriche)
3606	Educazione Sanitaria	colloquio di sostegno	colloquio di sostegno	colloquio di sostegno	122R	Accoglienza del paziente: presentazione di luoghi e persone, spiegazione dell'organizzazione del servizio. Intervista preliminare. Raccolta dati ed elaborazione insieme alla famiglia e/o al paziente di un programma globale di assistenza Infermieristica. Informazione a proposito degli interventi di assistenza e/o eventuali esami allo scopo fra l'altro di indurre Il paziente e/o la sua famiglia alla partecipazione.;Educazione del paziente perché si faccia carico della propria salute. Relazione di aiuto terapeutico. Preparazione di una relazione descrittiva di un piano di assistenza;
3607	Monitoraggi e Misurazioni	PARAMETRI VITALI	parametri vitali	parametri vitale	004T	Misurazione di uno o più dei seguenti parametri vitali e valori (temperatura polso arterioso, pressione arteriosa, atti respiratori, diuresi, peso corporeo misure antropometriche)
3608	Cure Palliative	Accompagnamento paziente oncologico e non	accompagnamento paziente oncologico e non	accompagnare paziente oncologico e non	122R	Accoglienza del paziente: presentazione di luoghi e persone, spiegazione dell'organizzazione del servizio. Intervista preliminare. Raccolta dati ed elaborazione insieme alla famiglia e/o al paziente di un programma globale di assistenza Infermieristica. Informazione a proposito degli interventi di assistenza e/o eventuali esami allo scopo fra l'altro di indurre Il paziente e/o la sua famiglia alla partecipazione.;Educazione del paziente perché si faccia carico della propria salute. Relazione di aiuto terapeutico. Preparazione di una relazione descrittiva di un piano di assistenza;
3609	Monitoraggi e Misurazioni	Rilevazione parametri vitali	rilevazione parametri vitali	rilevazione parametri vitale	004T	Misurazione di uno o più dei seguenti parametri vitali e valori (temperatura polso arterioso, pressione arteriosa, atti respiratori, diuresi, peso corporeo misure antropometriche)
3610	Monitoraggi e Misurazioni	Monitoraggio parametri vitali	monitoraggio parametri vitali	monitoraggio parametri vitale	004T	Misurazione di uno o più dei seguenti parametri vitali e valori (temperatura polso arterioso, pressione arteriosa, atti respiratori, diuresi, peso corporeo misure antropometriche)
3611	Monitoraggi e Misurazioni	Parametri vitali	parametri vitali	parametri vitale	004T	Misurazione di uno o più dei seguenti parametri vitali e valori (temperatura polso arterioso, pressione arteriosa, atti respiratori, diuresi, peso corporeo misure antropometriche)
3612	Monitoraggi e Misurazioni	Monitoraggio parametri vitali	monitoraggio parametri vitali	monitoraggio parametri vitale	004T	Misurazione di uno o più dei seguenti parametri vitali e valori (temperatura polso arterioso, pressione arteriosa, atti respiratori, diuresi, peso corporeo misure antropometriche)
3613	Medicazioni Avanzate	Medicazioni	medicazioni	medicazione	031T	Medicazione semplice
3614	Monitoraggi e Misurazioni	Parametri vitali	parametri vitali	parametri vitale	004T	Misurazione di uno o più dei seguenti parametri vitali e valori (temperatura polso arterioso, pressione arteriosa, atti respiratori, diuresi, peso corporeo misure antropometriche)
3615	Educazione Sanitaria	Educazione mobilizzazione	educazione mobilizzazione	educazione mobilizzazione	076T	Insegnamento al paziente e/o alla famiglia: - su norme di idratazione/alimentazione funzionali ad una buona eliminazione; per la valutazione della qualità e dell'aspetto <1elle feci;
3616	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo ematico	prelievo ematico	prelievo ematico	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
3617	Medicazioni Avanzate	Medicazioni ulcere	medicazioni ulcere	medicazione ulcera	032T	Medicazione complessa
3619	Monitoraggi e Misurazioni	Rilevazioni Parametri Vitali	rilevazioni parametri vitali	rilevazione parametri vitale	004T	Misurazione di uno o più dei seguenti parametri vitali e valori (temperatura polso arterioso, pressione arteriosa, atti respiratori, diuresi, peso corporeo misure antropometriche)
3620	Monitoraggi e Misurazioni	Parametri vitali	parametri vitali	parametri vitale	004T	Misurazione di uno o più dei seguenti parametri vitali e valori (temperatura polso arterioso, pressione arteriosa, atti respiratori, diuresi, peso corporeo misure antropometriche)
3621	Monitoraggi e Misurazioni	Parametri vitali	parametri vitali	parametri vitale	004T	Misurazione di uno o più dei seguenti parametri vitali e valori (temperatura polso arterioso, pressione arteriosa, atti respiratori, diuresi, peso corporeo misure antropometriche)
3622	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prlelievo	prlelievo	prelievo	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
3623	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo venoso	prelievo venoso	prelievo venoso	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
3624	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	prelievo ematico	prelievo ematico	prelievo ematico	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
3625	Medicazioni Avanzate	medicazioni piaghe da decubito od ulcere trofiche	medicazioni piaghe da decubito od ulcere trofiche	medicazione piaga da decubito od ulcera trofico	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
3626	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	prelievo	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
3627	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	prelievo	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
3628	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	PRELIEVO EMATICO PERIFERICO	prelievo ematico periferico	prelievo ematico periferico	033T	Prelievo capillare e venoso del sangue o raccolta di liquidi biologie mediante esami estemporanei (es.: stick glicemici)
